Player
H. Marín
A. Tamay
J. Alonzo
B. Galindo
D. Hernández
G. Eguade
A. Sánchez
L. Loroña
E. García
H. Aguayo
W. Ortega
M. Reyes
Junior Moreira
C. Traore
J. Plascencia
H. Meza
L. Razo
J. Clemente
J. Rodríguez
Omar Mireles
H. Torres
J. Vega
K. Magaña
Oscar Mazatán
K. Chaurand
C. Sánchez
J. Jiménez
