Player
J. Plascencia
H. Meza
L. Razo
J. Clemente
J. Rodríguez
Omar Mireles
H. Torres
J. Vega
K. Magaña
Oscar Mazatán
K. Chaurand
C. Sánchez
A. Mendoza
J. Jiménez
